,City,Cloudiness,Country,Date,Temperature,Max Temp,Latitude,Longitude,Humidity,Wind Speed
36,Pevek,88,RU,1537934165,38.93,38.93,69.7,170.27,100,7.14
37,Krasnyy Yar,48,RU,1537934167,44.6,44.6,50.7,44.73,99,5.23
38,Kaitangata,92,NZ,1537934168,45.86,45.86,-46.28,169.85,67,25.37
39,Ouadda,0,CF,1537934168,65.12,65.12,8.07,22.4,92,2.89
40,Hermanus,56,ZA,1537934168,53.33,53.33,-34.42,19.24,89,9.82
41,Geraldton,90,CA,1537931220,41.0,41.0,49.72,-86.95,100,3.36
42,Honningsvag,0,NO,1537932000,37.44,41.0,70.98,25.97,75,16.11
43,Yellowknife,20,CA,1537930800,39.2,39.2,62.45,-114.38,86,8.05
44,Chokurdakh,80,RU,1537934170,36.14,36.14,70.62,147.9,98,5.01
45,Floro,75,NO,1537932000,53.6,53.6,61.6,5.03,93,24.16
46,Brae,88,GB,1537932000,52.83,53.6,60.4,-1.35,87,14.99
47,Qaanaaq,80,GL,1537934170,17.42,17.42,77.48,-69.36,100,11.72
48,Vondrozo,0,MG,1537934171,57.02,57.02,-22.82,47.32,89,2.33
49,Pacific Grove,75,US,1537932900,56.16,60.8,36.62,-121.92,90,1.99
50,Chuy,92,UY,1537934174,60.89,60.89,-33.69,-53.46,87,16.08
51,Longyearbyen,90,NO,1537930200,28.4,28.4,78.22,15.63,92,9.17
52,New Norfolk,20,AU,1537932600,57.2,57.2,-42.78,147.06,47,10.29
53,Zhigansk,92,RU,1537934175,44.42,44.42,66.77,123.37,75,5.01
54,Fort Nelson,75,CA,1537930800,62.6,62.6,58.81,-122.69,27,13.87
55,Cape Town,75,ZA,1537930800,55.4,55.4,-33.93,18.42,93,14.99
56,Veraval,0,FR,1537932600,42.8,46.4,49.65,0.71,93,4.7
57,Albany,90,US,1537930440,61.05,64.94,42.65,-73.75,89,3.36
58,Kitab,20,UZ,1537930800,62.6,62.6,39.12,66.88,51,6.93
59,Nanortalik,0,GL,1537934176,36.77,36.77,60.14,-45.24,96,19.33
60,Richards Bay,12,ZA,1537934177,69.98,69.98,-28.77,32.06,65,3.89
61,Benemerito de las Americas,48,MX,1537934177,70.97,70.97,16.52,-90.64,96,1.88
62,Saint George,75,GR,1537932000,62.6,62.6,39.45,22.34,51,10.29
63,Vila Velha,20,BR,1537930800,78.8,78.8,-3.71,-38.6,78,11.41
64,Kajaani,90,FI,1537932000,42.8,42.8,64.22,27.73,93,5.82
65,Port Alfred,0,ZA,1537934178,60.8,60.8,-33.59,26.89,100,9.26
66,Bredasdorp,24,ZA,1537930800,53.6,53.6,-34.53,20.04,76,5.82
67,Bisira,92,PA,1537934179,72.5,72.5,8.52,-81.71,98,1.77
68,Jamestown,0,AU,1537934179,70.79,70.79,-33.21,138.6,37,7.02
69,Beitbridge,0,ZA,1537934181,63.95,63.95,-22.21,29.99,67,6.24
70,Cabinda,92,AO,1537934181,75.11,75.11,-5.56,12.19,100,9.26
71,Jammalamadugu,40,IN,1537932600,86.0,86.0,14.85,78.38,70,13.87
72,Carnarvon,0,ZA,1537934181,34.88,34.88,-30.97,22.13,90,3.67
73,Ribeira Grande,100,PT,1537934182,72.32,72.32,38.52,-28.7,100,13.18
74,East London,0,ZA,1537930800,55.4,55.4,-33.02,27.91,82,6.93
75,Kapaa,90,US,1537932000,80.49,80.96,22.08,-159.32,93,6.93
76,Anadyr,75,RU,1537930800,51.8,51.8,64.73,177.51,71,2.24
77,Ahipara,92,NZ,1537934182,57.56,57.56,-35.17,173.16,79,17.2
78,Dikson,92,RU,1537934183,40.1,40.1,73.51,80.55,95,16.75
79,Saint-Joseph,0,FR,1537932600,60.89,62.6,43.56,6.97,71,6.93
80,Poiana,0,RO,1537934184,41.45,41.45,44.55,27.26,81,8.03
81,Klaksvik,48,FO,1537932000,46.4,46.4,62.23,-6.59,81,24.16
82,Kaseda,75,JP,1537930800,73.4,73.4,31.42,130.32,64,14.99
83,Lompoc,1,US,1537932900,57.11,60.08,34.64,-120.46,82,6.93
84,Sambava,44,MG,1537934185,73.49,73.49,-14.27,50.17,100,15.3
85,Port Hardy,40,CA,1537930800,51.8,51.8,50.7,-127.42,87,3.36
86,Ilulissat,88,GL,1537930200,30.2,30.2,69.22,-51.1,68,11.41
87,Los Llanos de Aridane,0,ES,1537932600,71.6,71.6,28.66,-17.92,83,8.05
88,Cabo San Lucas,5,MX,1537929660,82.4,82.4,22.89,-109.91,74,3.36
89,Mahebourg,40,MU,1537930800,73.4,73.4,-20.41,57.7,64,16.11
90,Guerrero Negro,0,MX,1537934188,68.45,68.45,27.97,-114.04,79,9.37
91,Iqaluit,40,CA,1537930800,32.0,32.0,63.75,-68.52,100,3.36
92,Atuona,32,PF,1537934188,79.25,79.25,-9.8,-139.03,100,7.02
93,Lagoa,0,PT,1537932600,75.2,75.2,37.14,-8.45,83,18.34
94,Kruisfontein,0,ZA,1537934189,57.92,57.92,-34.0,24.73,84,12.62
95,Cockburn Town,32,TC,1537934189,83.12,83.12,21.46,-71.14,99,21.34
96,Kahului,40,US,1537930560,83.62,87.08,20.89,-156.47,69,6.93
97,Atarra,0,IN,1537934190,80.78,80.78,25.28,80.57,80,6.69
98,Hobyo,0,SO,1537934190,75.47,75.47,5.35,48.53,91,15.52
99,Talnakh,68,RU,1537934190,35.06,35.06,69.49,88.39,100,7.02
100,Cherskiy,68,RU,1537934191,37.58,37.58,68.75,161.3,70,3.11
101,Victoria,75,BN,1537932600,87.82,89.6,5.28,115.24,74,5.82
102,Vysokogornyy,0,RU,1537934192,48.02,48.02,50.1,139.13,62,4.79
103,Mogadishu,36,SO,1537934192,78.71,78.71,2.04,45.34,100,13.29
104,Bushenyi,20,UG,1537934192,57.47,57.47,-0.54,30.19,86,2.77
105,Whitehorse,75,CA,1537930800,48.2,48.2,60.72,-135.06,57,8.05
106,Ucluelet,0,CA,1537934193,53.78,53.78,48.94,-125.55,91,1.43
107,Pisco,90,PE,1537930800,60.8,60.8,-13.71,-76.2,87,10.29
108,Hualmay,64,PE,1537934194,56.75,56.75,-11.1,-77.61,92,3.78
109,Katsuura,75,JP,1537930800,71.6,71.6,33.93,134.5,64,8.05
110,Tasiilaq,0,GL,1537930200,32.0,32.0,65.61,-37.64,100,3.36
111,Fortuna,20,ES,1537932600,74.32,77.0,38.18,-1.13,78,5.82
112,Hokitika,0,NZ,1537934195,54.32,54.32,-42.72,170.96,81,19.55
113,Talakan,0,RU,1537934196,58.82,58.82,50.29,130.28,43,3.22
114,Mansa,0,IN,1537932600,80.6,80.6,23.43,72.66,83,4.7
115,Hithadhoo,92,MV,1537934197,81.05,81.05,-0.6,73.08,100,12.73
116,Souillac,0,FR,1537932600,49.01,50.0,45.6,-0.6,71,3.36
117,Nampula,0,MZ,1537930800,66.2,66.2,-15.12,39.26,88,5.82
118,Avarua,75,CK,1537930800,77.0,77.0,-21.21,-159.78,83,8.05
119,Lappeenranta,0,FI,1537932000,41.0,41.0,61.06,28.19,86,9.17
120,San Quintin,40,PH,1537930800,87.8,87.8,17.54,120.52,66,6.93
121,Hilo,20,US,1537930380,84.92,84.92,19.71,-155.08,72,10.29
122,Hun,0,BE,1537932000,44.02,44.6,50.34,4.87,87,2.24
123,Nome,1,US,1537931700,78.6,79.34,30.04,-94.42,87,4.7
124,Westport,92,IE,1537934203,59.45,59.45,53.8,-9.52,95,20.56
125,Bluff,0,AU,1537934204,82.85,82.85,-23.58,149.07,35,5.12
126,Barrow,92,AR,1537934204,56.03,56.03,-38.31,-60.23,66,3.56
127,Torbay,5,CA,1537930800,33.8,33.8,47.66,-52.73,86,8.05
128,Berghin,0,RO,1537932600,31.91,35.6,46.08,23.74,100,3.36
129,Vardo,1,US,1537932900,67.66,69.98,39.62,-77.74,94,6.93
130,Coquimbo,0,CL,1537930800,51.8,51.8,-29.95,-71.34,93,2.24
131,Cidreira,92,BR,1537934206,66.02,66.02,-30.17,-50.22,98,12.28
132,Thompson,75,CA,1537930800,33.8,33.8,55.74,-97.86,86,3.36
133,Bathsheba,40,BB,1537930800,82.4,82.4,13.22,-59.52,78,24.16
134,Hamilton,75,BM,1537930500,78.8,78.8,32.3,-64.78,69,14.99
135,Severo-Kurilsk,44,RU,1537934207,50.0,50.0,50.68,156.12,96,14.74
136,Shunyi,0,CN,1537932600,73.4,73.4,40.13,116.65,46,6.71
137,Lanxi,36,CN,1537934208,75.92,75.92,29.21,119.46,58,7.7
138,Pakokku,24,MM,1537934208,82.94,82.94,21.33,95.09,85,7.02
139,Jiuquan,32,CN,1537934209,56.12,56.12,39.73,98.49,48,6.69
140,Castro,48,CL,1537934209,40.37,40.37,-42.48,-73.76,100,1.66
141,Jiazi,40,CN,1537930800,87.8,87.8,19.61,110.49,70,4.47
142,Linqiong,40,CN,1537930800,73.4,73.4,30.42,103.46,64,11.18
143,Rocha,64,UY,1537934210,58.55,58.55,-34.48,-54.34,81,11.39
144,Cotonou,92,BJ,1537934211,76.55,76.55,6.37,2.43,97,4.12
145,Bridlington,0,GB,1537932000,53.6,53.6,54.08,-0.19,81,19.46
146,Faanui,24,PF,1537934211,78.62,78.62,-16.48,-151.75,100,12.28
147,Kenai,1,US,1537930560,53.55,55.04,60.55,-151.26,74,10.29
148,Rio Gallegos,0,AR,1537930800,37.4,37.4,-51.62,-69.22,86,14.99
149,Teya,90,MX,1537930200,77.0,77.0,21.05,-89.07,88,4.7
150,Samarai,20,PG,1537934213,77.99,77.99,-10.62,150.67,99,18.66
151,Vaini,36,IN,1537934213,75.38,75.38,15.34,74.49,85,2.77
152,Nouakchott,8,MR,1537934214,80.87,80.87,18.08,-15.98,97,4.79
153,Hofn,0,IS,1537934214,44.78,44.78,64.25,-15.21,98,18.88
154,Hasaki,75,JP,1537932600,68.0,68.0,35.73,140.83,82,12.75
155,Port Blair,88,IN,1537934215,79.97,79.97,11.67,92.75,100,8.37
156,Cascais,0,PT,1537932600,67.5,71.6,38.7,-9.42,64,4.7
157,Keflavik,75,IS,1537932600,43.16,44.6,64.0,-22.56,80,20.8
158,Trairi,8,BR,1537934200,79.25,79.25,-3.28,-39.27,100,21.56
159,Akdepe,0,TM,1537930800,56.26,59.0,42.05,59.39,54,6.93
160,Port Elizabeth,1,US,1537933140,73.33,75.92,39.31,-74.98,96,10.04
161,Waynesville,40,US,1537930560,68.76,69.26,37.83,-92.2,84,5.35
162,Turayf,0,SA,1537930800,66.2,66.2,31.68,38.65,63,9.17
163,Bethel,90,US,1537930380,51.08,51.08,60.79,-161.76,68,8.05
164,Christchurch,0,NZ,1537932600,53.6,53.6,-43.53,172.64,50,17.22
165,Nikolskoye,40,RU,1537930800,44.6,44.6,59.7,30.79,81,13.42
166,Husavik,76,CA,1537934220,43.25,43.25,50.56,-96.99,99,10.94
167,Rozhnyativ,75,UA,1537932600,39.2,39.2,48.94,24.16,86,6.71
168,Russell,0,AR,1537930800,68.0,68.0,-33.01,-68.8,42,11.41
169,Kodiak,1,US,1537930380,55.04,55.04,39.95,-94.76,89,9.17
170,Dunedin,36,NZ,1537934111,44.51,44.51,-45.87,170.5,67,22.79
171,Nishihara,90,JP,1537932600,64.74,68.0,35.74,139.53,88,8.05
172,Isangel,92,VU,1537934222,72.95,72.95,-19.55,169.27,100,15.86
173,Iwanai,92,JP,1537934223,61.97,61.97,42.97,140.51,99,6.02
174,Juneau,90,US,1537932720,52.45,53.06,58.3,-134.42,100,3.56
175,Caravelas,76,BR,1537934223,76.28,76.28,-17.73,-39.27,100,15.75
176,Dingle,44,PH,1537934223,85.37,85.37,11.0,122.67,70,13.73
177,Syzran,36,RU,1537934224,45.23,45.23,53.16,48.47,99,7.36
178,Butaritari,0,KI,1537934224,84.02,84.02,3.07,172.79,100,8.81
179,Grindavik,75,IS,1537932600,43.12,44.6,63.84,-22.43,80,20.8
180,Aksu,0,KZ,1537932600,53.6,53.6,52.04,76.93,81,4.47
181,Havelian,0,PK,1537930800,78.8,78.8,34.05,73.15,69,4.7
182,Tigil,80,RU,1537934226,47.66,47.66,57.8,158.67,70,17.31
183,Havelock,40,US,1537931460,74.82,77.0,34.88,-76.9,100,6.02
184,Kota Belud,75,MY,1537932600,89.6,89.6,6.35,116.43,66,5.82
185,Panjab,0,AF,1537934228,33.53,33.53,34.38,67.02,77,3.33
186,Saldanha,0,PT,1537934228,49.73,49.73,41.42,-6.55,67,4.34
187,Constitucion,90,MX,1537929840,66.2,66.2,23.99,-104.67,72,5.35
188,Port Augusta,0,AU,1537930800,80.6,80.6,-32.49,137.76,13,16.11
189,Deputatskiy,56,RU,1537933991,27.77,27.77,69.3,139.9,78,5.46
190,Banyo,80,CM,1537934229,62.15,62.15,6.75,11.81,95,3.0
191,Saskylakh,80,RU,1537934230,33.08,33.08,71.97,114.09,94,13.29
192,San Policarpo,36,PH,1537934230,84.11,84.11,12.18,125.51,87,19.33
193,Ustka,100,PL,1537934231,55.85,55.85,54.58,16.86,100,24.81
194,Botwood,75,CA,1537930800,37.4,37.4,49.14,-55.34,69,6.93
195,Meulaboh,0,ID,1537934232,82.4,82.4,4.14,96.13,100,3.22
196,Deniliquin,0,AU,1537934232,64.67,64.67,-35.53,144.96,82,5.46
197,Maputo,0,MZ,1537934233,70.25,70.25,-25.97,32.57,46,9.71
198,Emba,0,CY,1537932600,66.76,68.0,34.81,32.42,63,8.05
199,Luocheng,64,CN,1537934233,73.67,73.67,28.29,114.55,64,12.84
200,Petrolina,0,BR,1537930800,80.6,80.6,-9.38,-40.5,44,12.75
201,Vyatskiye Polyany,20,RU,1537934234,47.75,47.75,56.22,51.07,97,10.38
202,Kamenka,32,RU,1537934234,39.38,39.38,53.19,44.05,96,8.25
203,Seoul,0,KR,1537932600,71.8,73.4,37.57,126.98,31,9.17
204,Tuatapere,92,NZ,1537934235,45.5,45.5,-46.13,167.69,100,20.11
205,Saint-Philippe,90,CA,1537932900,59.13,60.8,45.36,-73.48,95,3.36
206,Provideniya,75,RU,1537930800,46.4,46.4,64.42,-173.23,65,4.47
207,Georgetown,40,GY,1537930800,75.2,75.2,6.8,-58.16,94,4.7
208,Tahlequah,40,US,1537931700,69.8,75.02,35.92,-94.97,83,5.82
209,Saint John,90,CA,1537930800,51.8,51.8,45.28,-66.06,93,12.75
210,Tucuman,0,PE,1537934237,52.52,52.52,-17.17,-70.89,77,0.87
211,Umm Kaddadah,0,SD,1537934238,73.49,73.49,13.6,26.69,53,7.47
212,Portland,20,US,1537930560,68.76,71.06,45.52,-122.67,50,4.7
213,Puerto Palomas,1,US,1537930380,75.02,75.02,31.78,-107.63,41,4.7
214,Galesong,20,ID,1537932600,93.2,93.2,-5.32,119.37,41,9.17
215,Sheopur,0,IN,1537934239,79.16,79.16,25.67,76.7,85,4.56
216,The Pas,90,CA,1537930800,42.8,42.8,53.82,-101.24,75,9.17
217,Maragogi,80,BR,1537934239,74.21,74.21,-9.01,-35.22,92,7.14
218,Qaqortoq,5,GL,1537930200,33.8,33.8,60.72,-46.03,55,9.17
219,Saint Pete Beach,56,US,1537932900,81.12,84.92,27.73,-82.74,88,8.05
220,Marzuq,0,YE,1537934240,50.18,50.18,14.4,46.47,54,2.89
221,Imeni Poliny Osipenko,0,RU,1537934240,57.65,57.65,52.42,136.49,53,4.68
222,Gobabis,0,NA,1537930800,64.4,64.4,-22.45,18.97,22,2.24
223,Sungaipenuh,76,ID,1537934242,70.43,70.43,-2.08,101.38,90,0.98
224,Quatre Cocos,40,MU,1537930800,73.4,73.4,-20.21,57.76,64,16.11
225,Fillan,75,NO,1537930200,51.8,51.8,63.6,8.98,87,27.51
226,Dakar,76,SN,1537930800,78.8,78.8,14.69,-17.45,88,4.7
227,La Ronge,40,CA,1537930800,32.0,32.0,55.1,-105.3,74,4.7
228,Manjacaze,0,MZ,1537934244,69.17,69.17,-24.71,33.88,66,10.71
229,Ust-Kuyga,68,RU,1537934244,30.47,30.47,70.0,135.55,81,9.71
230,Salalah,40,OM,1537930200,73.4,73.4,17.01,54.1,83,4.7
231,Kuytun,44,RU,1537934245,47.66,47.66,54.34,101.51,85,7.02
232,Bambous Virieux,40,MU,1537930800,73.4,73.4,-20.34,57.76,64,16.11
233,Erenhot,12,CN,1537934246,61.79,61.79,43.65,111.97,55,10.38
234,Mehamn,0,NO,1537932000,38.44,41.0,71.03,27.85,174,11.41
235,Pucallpa,0,PE,1537930800,78.8,78.8,-8.38,-74.54,78,1.77
236,High Level,75,CA,1537930800,57.2,57.2,58.52,-117.13,44,6.93
237,Talara,0,PE,1537934248,68.18,68.18,-4.58,-81.27,82,4.79
238,Nizwa,0,OM,1537934248,70.43,70.43,22.93,57.53,51,2.33
239,Lebu,0,ET,1537934248,39.29,39.29,8.96,38.73,77,3.33
240,Clyde River,90,CA,1537933320,28.4,28.4,70.47,-68.59,100,29.97
241,Udachnyy,88,RU,1537934249,44.15,44.15,66.42,112.4,94,3.11
242,Diamantino,44,BR,1537934249,76.1,76.1,-14.4,-56.44,78,5.23
243,Nurota,24,UZ,1537930800,60.8,60.8,40.56,65.69,48,4.7
244,Upernavik,64,GL,1537934250,32.18,32.18,72.79,-56.15,100,16.53
245,Kodinsk,92,RU,1537934250,43.43,43.43,58.6,99.18,100,7.47
246,Tiksi,88,RU,1537934251,33.26,33.26,71.64,128.87,96,14.29
247,Sao Filipe,8,CV,1537934251,78.26,78.26,14.9,-24.5,96,8.03
248,Hami,0,CN,1537934251,57.47,57.47,42.84,93.51,50,6.69
249,Maningrida,0,AU,1537934252,85.1,85.1,-12.05,134.23,57,15.75
250,Terrace,90,CA,1537930800,57.2,57.2,54.52,-128.61,71,5.82
251,Kaffrine,0,SN,1537930800,77.0,77.0,14.1,-15.55,100,3.67
252,Buraydah,20,SA,1537930800,84.2,84.2,26.33,43.97,30,3.36
253,Port Macquarie,40,AU,1537930800,64.4,64.4,-31.43,152.91,63,14.99
254,Shingu,75,JP,1537930800,68.0,68.0,33.72,135.99,100,9.17
255,San Ramon,100,NI,1537934254,69.44,69.44,12.92,-85.84,99,2.21
256,Dhidhdhoo,36,MV,1537934254,80.87,80.87,6.88,73.1,100,12.84
257,Eyl,0,SO,1537934254,75.38,75.38,7.98,49.82,90,17.54
258,Esperance,20,TT,1537930800,77.0,77.0,10.24,-61.45,100,4.23
259,Kuvshinovo,0,RU,1537934259,33.08,33.08,57.03,34.18,86,10.38
260,Aljezur,0,PT,1537934259,72.05,72.05,37.31,-8.8,88,13.96
261,Chiang Khong,75,LA,1537930800,84.2,84.2,20.27,100.41,79,3.44
262,Kalmunai,20,LK,1537934259,79.97,79.97,7.42,81.82,94,3.89
263,Custoias,0,PT,1537934260,49.01,49.01,41.11,-7.32,73,2.33
264,Teahupoo,20,PF,1537932600,78.8,78.8,-17.83,-149.27,61,9.17
265,Comodoro Rivadavia,75,AR,1537930800,42.8,42.8,-45.87,-67.48,81,3.36
266,Huarmey,44,PE,1537934261,59.45,59.45,-10.07,-78.15,79,3.11
267,Mocuba,0,MZ,1537934261,72.41,72.41,-16.84,36.99,79,5.46
268,Mpika,0,ZM,1537934262,58.28,58.28,-11.84,31.4,82,8.03
269,Booue,92,GA,1537934262,70.52,70.52,-0.09,11.94,100,1.99
270,Broome,0,GB,1537932000,46.98,48.2,52.47,1.45,81,8.05
271,Honghu,92,CN,1537934263,66.11,66.11,29.82,113.46,95,10.71
272,Karratha,0,AU,1537934263,99.32,99.32,-20.74,116.85,12,11.39
273,Azangaro,0,PE,1537930800,42.8,42.8,-14.91,-70.2,98,10.29
274,Pishin,12,PK,1537934265,49.91,49.91,30.58,67.0,34,2.21
275,Oyem,92,GA,1537934266,71.6,71.6,1.6,11.57,97,2.44
276,Itigi,0,TZ,1537934266,58.46,58.46,-5.7,34.5,88,11.16
277,Airai,12,TL,1537934266,85.82,85.82,-8.93,125.41,39,1.66
278,Montero,75,BO,1537930800,80.6,80.6,-17.34,-63.26,61,8.05
279,Acari,0,BR,1537934267,68.63,68.63,-6.44,-36.64,84,11.72
280,Morrinhos,0,BR,1537934267,76.55,76.55,-17.73,-49.11,34,7.81
281,Biak,32,ID,1537934268,82.76,82.76,-0.91,122.88,78,8.7
282,Lasa,0,CY,1537932600,66.7,68.0,34.92,32.53,63,8.05
283,Kamloops,40,CA,1537930800,57.2,57.2,50.68,-120.34,62,8.05
284,Ulladulla,75,AU,1537932600,50.0,50.0,-35.36,150.48,100,11.41
285,Shubarkuduk,24,KZ,1537934269,54.5,54.5,49.15,56.49,57,12.28
286,Brooks,0,CA,1537934269,43.97,43.97,50.57,-111.89,77,5.01
287,Labuhan,20,ID,1537934270,88.61,88.61,-2.54,115.51,59,1.99
288,Benghazi,8,LY,1537934270,78.35,78.35,32.12,20.07,100,15.41
289,Oytal,0,KZ,1537934271,48.92,48.92,42.91,73.27,74,6.13
290,Sitka,24,US,1537934271,62.42,62.42,37.17,-99.65,53,12.95
291,Monte Carmelo,0,BR,1537934271,69.8,69.8,-18.73,-47.5,45,8.81
292,Rawson,0,AR,1537934272,45.68,45.68,-43.3,-65.11,59,12.73
293,Bonthe,92,SL,1537934272,76.82,76.82,7.53,-12.5,98,3.22
294,Carauari,24,BR,1537934273,76.01,76.01,-4.88,-66.9,92,3.0
295,Mecca,0,SA,1537934127,67.37,67.37,21.43,39.83,63,2.55
296,Pindwara,0,IN,1537934273,74.12,74.12,24.79,73.05,79,0.31
297,Snyder,75,US,1537932900,75.74,76.1,32.72,-100.92,57,16.11
298,Ixtapa,90,MX,1537930320,84.2,84.2,20.71,-105.21,94,2.21
299,Shelburne,90,CA,1537933380,70.38,71.6,44.08,-80.2,88,12.75
300,Solwezi,0,ZM,1537934274,58.1,58.1,-12.18,26.4,51,7.58
301,Bakchar,100,RU,1537934063,55.4,55.4,57.02,82.07,96,4.56
302,Avera,1,US,1537932900,75.83,78.98,33.19,-82.53,95,4.23
303,Bismarck,20,US,1537930320,46.04,46.04,46.81,-100.78,79,11.41
304,Ha Tinh,0,VN,1537934275,86.63,86.63,18.33,105.9,97,6.8
305,Chitral,8,PK,1537934276,34.25,34.25,35.85,71.79,51,1.43
306,Nichinan,75,JP,1537930800,74.21,75.2,31.65,131.31,78,18.34
307,Mount Isa,0,AU,1537932600,89.6,89.6,-20.73,139.49,15,6.93
308,Batagay,92,RU,1537934277,35.78,35.78,67.65,134.64,96,8.03
309,Marion,90,US,1537931700,76.53,80.06,35.21,-90.2,100,4.79
310,Manokwari,36,ID,1537934278,80.15,80.15,-0.87,134.08,100,2.1
311,Gaoua,36,BF,1537934278,71.33,71.33,10.33,-3.18,95,3.22
312,Kieta,48,PG,1537934278,81.32,81.32,-6.22,155.63,94,16.2
313,Murray Bridge,32,AU,1537934279,57.65,57.65,-35.12,139.28,85,12.84
314,Southbridge,90,US,1537933620,62.85,69.98,42.08,-72.03,93,4.9
315,Lubao,75,PH,1537930800,86.56,87.8,14.94,120.6,66,4.7
316,Jampur,0,PK,1537934280,79.07,79.07,29.64,70.6,78,4.0
317,Dourados,12,BR,1537934280,71.6,71.6,-22.22,-54.81,85,6.91
318,Luena,32,AO,1537934281,62.87,62.87,-11.78,19.91,86,5.91
319,Senador Jose Porfirio,56,BR,1537934281,76.64,76.64,-2.59,-51.95,94,3.11
320,Codrington,76,AU,1537934281,59.81,59.81,-28.95,153.24,96,3.56
321,Waimana,8,NZ,1537934282,56.12,56.12,-38.14,177.08,46,7.02
322,Nara,75,JP,1537932600,74.8,77.0,34.68,135.8,69,11.41
323,Mende,88,FR,1537934282,45.32,45.32,44.52,3.5,94,1.99
324,Kavaratti,56,IN,1537934283,82.58,82.58,10.57,72.64,100,9.6
325,Tezu,92,IN,1537934283,65.21,65.21,27.93,96.16,100,0.87
326,Sinnamary,32,GF,1537934284,81.68,81.68,5.38,-52.96,99,7.7
327,Ugoofaaru,48,MV,1537934284,83.93,83.93,5.67,73.0,99,13.06
328,Inuvik,75,CA,1537930800,26.6,26.6,68.36,-133.71,86,8.05
329,Boyolangu,0,ID,1537934285,85.64,85.64,-8.09,111.9,51,7.02
330,Sao Joao do Paraiso,0,BR,1537934285,65.57,65.57,-15.31,-42.01,73,9.71
331,Vanderhoof,12,CA,1537934285,50.09,50.09,54.02,-124.02,67,4.56
332,Healdsburg,20,US,1537932900,61.9,75.92,38.61,-122.87,100,4.7
333,Balikpapan,40,ID,1537932600,87.8,87.8,-1.24,116.86,74,5.82
334,Hirara,75,JP,1537930800,86.0,86.0,24.8,125.28,74,17.22
335,Opuwo,0,NA,1537934287,52.34,52.34,-18.06,13.84,60,3.22
336,Nkongsamba,88,CM,1537934287,69.98,69.98,4.95,9.94,96,2.66
337,Lincoln,8,GB,1537932000,51.58,53.6,53.23,-0.54,81,19.46
